"","2018","2019"
"0",0.0943885437749647,0.0880981726595574
"1",0.00183434806445363,0.0017601497157791
"10",0.237348151018372,0.22977991945357
"12",0.00681388168661091,0.00643052355179251
"21",0.00798868887395762,0.00706945377648984
"22",0.000849158879275165,0.000972822793732713
"32",0.0224697332569365,0.020932178587181
"34",0.0585053979298661,0.0535299864381907
"36",0.0810946729707782,0.0801342165684913
